winner_share,descriptive,claude-haiku-4-5,hard,v1_repeat0 vs v1_repeat1,12,6,0.500000,0.253782,0.746218,0.492437,,,,,,,share of decisive consistent pairs won by v1_repeat0; 58 of 70 pairs were a tie or order-dependent
winner_share,descriptive,claude-sonnet-5,easy,v1_repeat0 vs v2b_repeat0,10,3,0.300000,0.107791,0.603222,0.495431,,,,,,,share of decisive consistent pairs won by v1_repeat0; 60 of 70 pairs were a tie or order-dependent
winner_share,descriptive,claude-sonnet-5,hard,v1_repeat0 vs v1_repeat1,6,2,0.333333,0.096771,0.700007,0.603235,,,,,,,share of decisive consistent pairs won by v1_repeat0; 64 of 70 pairs were a tie or order-dependent
test,exploratory_bh_e2_consistency,(both),easy,claude-haiku-4-5 vs claude-sonnet-5,70,,,,,,8,14,0.286279,0.572557,mcnemar_exact,,"paired on pair_id; b = consistent under claude-haiku-4-5 only, c = consistent under claude-sonnet-5 only"
test,exploratory_bh_e2_consistency,(both),hard,claude-haiku-4-5 vs claude-sonnet-5,70,,,,,,6,13,0.167068,0.501205,mcnemar_exact,,"paired on pair_id; b = consistent under claude-haiku-4-5 only, c = consistent under claude-sonnet-5 only"
test,exploratory_bh_e2_consistency,(both),(both),claude-haiku-4-5 vs claude-sonnet-5,140,,,,,,14,27,0.059584,0.357503,mcnemar_exact,,"paired on pair_id; b = consistent under claude-haiku-4-5 only, c = consistent under claude-sonnet-5 only"
test,exploratory_bh_e2_consistency,claude-haiku-4-5,easy vs hard,layer,140,,0.000000,,,,,,1.000000,1.000000,fisher_exact_conditional,,"easy 52/70 vs hard 52/70; estimate is the difference in rates. Fisher exact assumes two independent samples and these two layers are built from the same 70 emails, so the paired row below is the honest version"
test,sensitivity_paired_layers,claude-haiku-4-5,easy vs hard,layer (paired by case),70,,,,,,12,12,1.000000,,mcnemar_exact,,"sensitivity: the same email appears in both layers, so the layers are paired; no multiplicity adjustment, this row is not in any family"
test,exploratory_bh_e2_consistency,claude-sonnet-5,easy vs hard,layer,140,,-0.014286,,,,,,1.000000,1.000000,fisher_exact_conditional,,"easy 58/70 vs hard 59/70; estimate is the difference in rates. Fisher exact assumes two independent samples and these two layers are built from the same 70 emails, so the paired row below is the honest version"
test,sensitivity_paired_layers,claude-sonnet-5,easy vs hard,layer (paired by case),70,,,,,,10,11,1.000000,,mcnemar_exact,,"sensitivity: the same email appears in both layers, so the layers are paired; no multiplicity adjustment, this row is not in any family"
test,exploratory_bh_e2_consistency,(both),easy vs hard,layer,280,,-0.007143,,,,,,1.000000,1.000000,fisher_exact_conditional,,"easy 110/140 vs hard 111/140; estimate is the difference in rates. Fisher exact assumes two independent samples and these two layers are built from the same 70 emails, so the paired row below is the honest version"
test,sensitivity_paired_layers,(both),easy vs hard,layer (paired by case),140,,,,,,22,23,1.000000,,mcnemar_exact,,"sensitivity: the same email appears in both layers, so the layers are paired; no multiplicity adjustment, this row is not in any family"
