table,row_key,column,v1_1_value,gold_v2_value,note
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=3|case_id=case-021,expected_category,billing,general,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=3|case_id=case-051,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=3|case_id=case-054,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-015,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-015,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-020,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-020,category_match,0,1,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-020,passed,0,1,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-021,expected_category,billing,general,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-021,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-021,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-051,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-051,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-051,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-054,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-054,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=0|case_id=case-054,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-015,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-015,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-020,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-020,category_match,0,1,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-020,passed,0,1,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-021,expected_category,billing,general,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-021,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-021,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-051,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-051,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-051,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-054,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-054,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=1|case_id=case-054,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-015,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-015,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-020,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-020,category_match,0,1,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-020,passed,0,1,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-021,expected_category,billing,general,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-021,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-021,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-051,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-051,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-051,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-054,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-054,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=2|case_id=case-054,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-015,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-015,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-020,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-020,category_match,0,1,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-020,passed,0,1,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-021,expected_category,billing,general,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-021,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-021,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-051,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-051,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-051,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-054,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-054,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=3|case_id=case-054,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-015,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-015,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-020,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-020,category_match,0,1,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-020,passed,0,1,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-021,expected_category,billing,general,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-021,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-021,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-051,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-051,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-051,passed,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-054,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-054,category_match,1,0,
per_case_outcomes.csv,exp_id=e0_noise|run_id=e0_noise_20260914T115913Z|prompt_version=v1|repeat_idx=4|case_id=case-054,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-015,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-015,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-020,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-020,category_match,0,1,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-020,passed,0,1,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-021,expected_category,billing,general,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-021,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-021,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-051,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-051,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-051,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-054,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-054,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=0|case_id=case-054,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-015,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-015,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-020,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-020,category_match,0,1,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-020,passed,0,1,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-021,expected_category,billing,general,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-021,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-021,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-051,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-051,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-051,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-054,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-054,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=1|case_id=case-054,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-015,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-015,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-020,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-020,category_match,0,1,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-020,passed,0,1,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-021,expected_category,billing,general,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-021,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-021,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-051,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-051,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-051,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-054,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-054,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2a|run_id=e1_v2a_20260915T153333Z|prompt_version=v2a|repeat_idx=2|case_id=case-054,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-015,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-015,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-020,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-020,category_match,0,1,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-020,passed,0,1,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-021,expected_category,billing,general,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-021,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-021,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-051,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-051,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-051,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-054,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-054,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=0|case_id=case-054,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-015,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-015,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-020,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-020,category_match,0,1,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-020,passed,0,1,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-021,expected_category,billing,general,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-021,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-021,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-051,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-051,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-051,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-054,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-054,category_match,0,1,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=1|case_id=case-054,passed,0,1,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=2|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=2|case_id=case-015,category_match,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=2|case_id=case-015,passed,1,0,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=2|case_id=case-020,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e1_v2b|run_id=e1_v2b_20260915T153711Z|prompt_version=v2b|repeat_idx=2|case_id=case-020,category_match,0,1,
