family,exp_id,prompt_version,metric,unit,stratum_kind,stratum,n,k,estimate,wilson_lo,wilson_hi,ci_width,n_rest,k_rest,estimate_rest,difference,fisher_p,p_bh,n_in_bh_family,n_excluded_tie,ci_method,test,note
exploratory_bh_strata_degraded,e1_v2b,v2b,category_match,case,difficulty,easy,45,44,0.977778,0.884333,0.996066,0.111733,25,20,0.800000,0.177778,0.019585,0.097927,40,0,wilson,fisher_exact_conditional,"45 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2b,v2b,category_match,case,difficulty,ambiguous,17,16,0.941176,0.730180,0.989540,0.259360,53,48,0.905660,0.035516,1.000000,1.000000,40,0,wilson,fisher_exact_conditional,"17 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2b,v2b,category_match,case,difficulty,edge,8,4,0.500000,0.215216,0.784784,0.569568,62,60,0.967742,-0.467742,0.001036,0.041450,40,0,wilson,fisher_exact_conditional,"members: case-012, case-015, case-020, case-025, case-034, case-043, case-055, case-068"
exploratory_bh_strata_degraded,e1_v2b,v2b,category_match,case,category,billing,19,18,0.947368,0.753613,0.990648,0.237035,51,46,0.901961,0.045408,1.000000,1.000000,40,0,wilson,fisher_exact_conditional,"19 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2b,v2b,category_match,case,category,technical,18,18,1.000000,0.824121,1.000000,0.175879,52,46,0.884615,0.115385,0.327296,0.770109,40,0,wilson,fisher_exact_conditional,"18 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2b,v2b,category_match,case,category,general,17,13,0.764706,0.527382,0.904450,0.377068,53,51,0.962264,-0.197558,0.027609,0.122707,40,0,wilson,fisher_exact_conditional,"17 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2b,v2b,category_match,case,category,account,16,15,0.937500,0.716713,0.988881,0.272168,54,49,0.907407,0.030093,1.000000,1.000000,40,0,wilson,fisher_exact_conditional,"16 cases, not a consecutive block"
descriptive,e1_v2c,v2c,category_match,case,overall,all,70,56,0.800000,0.691834,0.876953,0.185119,,,,,,,,0,wilson,,"one outcome per case, repeats collapsed by majority vote (docs/PREREGISTRATION.md section 10.4), so n is a count of emails, not of calls"
exploratory_bh_strata_degraded,e1_v2c,v2c,category_match,case,language,zh-tw,35,29,0.828571,0.673177,0.918974,0.245796,35,27,0.771429,0.057143,0.766011,1.000000,40,0,wilson,fisher_exact_conditional,"members are the consecutive block case-001..case-035, written as one quota fill rather than drawn across the dataset"
exploratory_bh_strata_degraded,e1_v2c,v2c,category_match,case,language,en,28,21,0.750000,0.566443,0.873235,0.306792,42,35,0.833333,-0.083333,0.543145,0.995545,40,0,wilson,fisher_exact_conditional,"members are the consecutive block case-036..case-063, written as one quota fill rather than drawn across the dataset"
exploratory_bh_strata_degraded,e1_v2c,v2c,category_match,case,language,mixed,7,6,0.857143,0.486872,0.974320,0.487448,63,50,0.793651,0.063492,1.000000,1.000000,40,0,wilson,fisher_exact_conditional,"members are the consecutive block case-064..case-070, written as one quota fill rather than drawn across the dataset"
exploratory_bh_strata_degraded,e1_v2c,v2c,category_match,case,difficulty,easy,45,37,0.822222,0.686702,0.907056,0.220354,25,19,0.760000,0.062222,0.547550,0.995545,40,0,wilson,fisher_exact_conditional,"45 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2c,v2c,category_match,case,difficulty,ambiguous,17,15,0.882353,0.656636,0.967120,0.310484,53,41,0.773585,0.108768,0.491653,0.983306,40,0,wilson,fisher_exact_conditional,"17 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2c,v2c,category_match,case,difficulty,edge,8,4,0.500000,0.215216,0.784784,0.569568,62,52,0.838710,-0.338710,0.045334,0.181338,40,0,wilson,fisher_exact_conditional,"members: case-012, case-015, case-020, case-025, case-034, case-043, case-055, case-068"
exploratory_bh_strata_degraded,e1_v2c,v2c,category_match,case,category,billing,19,19,1.000000,0.831821,1.000000,0.168179,51,37,0.725490,0.274510,0.007940,0.091128,40,0,wilson,fisher_exact_conditional,"19 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2c,v2c,category_match,case,category,technical,18,18,1.000000,0.824121,1.000000,0.175879,52,38,0.730769,0.269231,0.014482,0.097927,40,0,wilson,fisher_exact_conditional,"18 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2c,v2c,category_match,case,category,general,17,9,0.529412,0.309632,0.738349,0.428717,53,47,0.886792,-0.357381,0.003280,0.065598,40,0,wilson,fisher_exact_conditional,"17 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2c,v2c,category_match,case,category,account,16,10,0.625000,0.386410,0.815188,0.428777,54,46,0.851852,-0.226852,0.072313,0.241042,40,0,wilson,fisher_exact_conditional,"16 cases, not a consecutive block"
descriptive,e1_v2d,v2d,category_match,case,overall,all,70,65,0.928571,0.843446,0.969106,0.125660,,,,,,,,0,wilson,,"one outcome per case, repeats collapsed by majority vote (docs/PREREGISTRATION.md section 10.4), so n is a count of emails, not of calls"
exploratory_bh_strata_degraded,e1_v2d,v2d,category_match,case,language,zh-tw,35,31,0.885714,0.740485,0.954648,0.214163,35,34,0.971429,-0.085714,0.356478,0.792174,40,0,wilson,fisher_exact_conditional,"members are the consecutive block case-001..case-035, written as one quota fill rather than drawn across the dataset"
exploratory_bh_strata_degraded,e1_v2d,v2d,category_match,case,language,en,28,27,0.964286,0.822878,0.993667,0.170789,42,38,0.904762,0.059524,0.641458,1.000000,40,0,wilson,fisher_exact_conditional,"members are the consecutive block case-036..case-063, written as one quota fill rather than drawn across the dataset"
exploratory_bh_strata_degraded,e1_v2d,v2d,category_match,case,language,mixed,7,7,1.000000,0.645670,1.000000,0.354330,63,58,0.920635,0.079365,1.000000,1.000000,40,0,wilson,fisher_exact_conditional,"members are the consecutive block case-064..case-070, written as one quota fill rather than drawn across the dataset"
exploratory_bh_strata_degraded,e1_v2d,v2d,category_match,case,difficulty,easy,45,44,0.977778,0.884333,0.996066,0.111733,25,21,0.840000,0.137778,0.051424,0.186995,40,0,wilson,fisher_exact_conditional,"45 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2d,v2d,category_match,case,difficulty,ambiguous,17,16,0.941176,0.730180,0.989540,0.259360,53,49,0.924528,0.016648,1.000000,1.000000,40,0,wilson,fisher_exact_conditional,"17 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2d,v2d,category_match,case,difficulty,edge,8,5,0.625000,0.305742,0.863156,0.557413,62,60,0.967742,-0.342742,0.009113,0.091128,40,0,wilson,fisher_exact_conditional,"members: case-012, case-015, case-020, case-025, case-034, case-043, case-055, case-068"
exploratory_bh_strata_degraded,e1_v2d,v2d,category_match,case,category,billing,19,18,0.947368,0.753613,0.990648,0.237035,51,47,0.921569,0.025800,1.000000,1.000000,40,0,wilson,fisher_exact_conditional,"19 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2d,v2d,category_match,case,category,technical,18,17,0.944444,0.742427,0.990125,0.247698,52,48,0.923077,0.021368,1.000000,1.000000,40,0,wilson,fisher_exact_conditional,"18 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2d,v2d,category_match,case,category,general,17,14,0.823529,0.589705,0.938089,0.348383,53,51,0.962264,-0.138735,0.088356,0.271863,40,0,wilson,fisher_exact_conditional,"17 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2d,v2d,category_match,case,category,account,16,16,1.000000,0.806392,1.000000,0.193608,54,49,0.907407,0.092593,0.581921,1.000000,40,0,wilson,fisher_exact_conditional,"16 cases, not a consecutive block"
